,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NEW PC REGISTRATIONS OR SALES,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Estimated figures,,,,,,,,,,,,,,,,,,,,,,,
AFRICA,LIBYA,,,,"35,000","35,000","36,000","37,000","37,500","38,000","39,000","20,000","30,000","30,000",,,,,,,,,,,,,,
AFRICA,MADAGASCAR,,,,930,"1,100","1,100","1,000",900,900,"1,100","1,200","1,200","1,600",,,,,,,,,,,,,,
AFRICA,MALAWI,,,,930,"1,100","1,100","1,000","1,000","1,500","1,500","1,000","1,000","1,100",,,,,,,,,,,,,,
AFRICA,MAURITIUS,,,,"2,900","3,500","4,000","4,000","3,000","4,000","3,000","7,000","7,500","8,600",,,,,,,,,,,,,,
AFRICA,MOROCCO,,,,"56,183","75,295","90,941","1,02,095","93,761","91,119","99,727","1,17,818","1,08,177","1,09,649",,,,,,,,,,,,,,
AFRICA,NIGERIA,,,,"16,000","22,000","7,000","7,000","34,000","25,000","30,000","40,000","40,000","42,000",,,,,,,,,,,,,,
AFRICA,REUNION,,,,"25,142","22,437","24,819","23,267","20,935","20,295","21,111","19,795","19,465","20,605",,,,,,,,,,,,,,
AFRICA,SENEGAL,,,,"3,000","3,000","3,000","3,000","4,000","4,000","3,500","4,000","4,000","4,500",,,,,,,,,,,,,,
AFRICA,SOUTH AFRICA,,,,"4,19,868","4,81,558","4,34,653","3,29,262","2,58,129","3,37,130","3,96,292","4,40,002","4,50,561","4,39,264",,,,,,,,,,,,,,
AFRICA,SUDAN,,,,"2,000","2,000","2,500","3,000","7,000","2,000","2,000","2,000","1,500","1,800",,,,,,,,,,,,,,
AFRICA,TANZANIA,,,,"2,000","2,000","2,000","2,000","2,000","2,000","3,000","3,000","3,500","1,000",,,,,,,,,,,,,,
AFRICA,TUNISIA,,,,"25,000","30,000","30,000","33,000","35,000","45,000","35,000","37,000","35,000","37,100",,,,,,,,,,,,,,
AFRICA,UGANDA,,,,"3,000","3,500","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000",,,,,,,,,,,,,,
AFRICA,ZAMBIA,,,,"2,300","2,700","2,800","2,600","3,000","2,000","2,000","2,000","2,000","2,000",,,,,,,,,,,,,,
AFRICA,ZIMBABWE,,,,"7,000","6,000","3,000","3,000","3,000","2,000","3,000","3,000","3,000","4,100",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*only LV,,,,,,,,,,,,,,,,,,,,,,,,,,,
